name,occupation,phone_number,street_address,zipcode,long,lat
Gabriel Martinez,Dermatology,3457896386,"1543 Professional Pkwy
Auburn, AL 36830",30308,33.780368,-84.386783
Elise Barnett,Dermatology,3768946742,"286 Mitylene Park Dr
Montgomery, AL 36117",30308,33.777705,-84.382019
Ashley Ades,Dermatology,9073857623,"10 Cloverleaf Dr Cartersville, GA 30120",30308,33.779765,-84.387695
Corrie Alforde,Dermatology,6785425609,"148 Bill Carruth Pkwy Ste 280 Hiram, GA 30141",30308,33.775913,-84.386868
Charles Franz,Dermatology,3416735498,"120 Medical Park Dr Ste 200 Bridgeport, WV 26330",30308,33.774646,-84.386997
Kristine Cisko,Immunology,1243628765,"1110 20th St Parkersburg, WV 26101",30308,33.768805,-84.386879
Christian Gonzoph,Immunology,3208762846,"65 Walnut St Ste 520 Wellesley Hills, MA 02481",30308,33.768154,-84.382824
Blanka Kaplan,Immunology,6725364523,"111 Grossman Dr Braintreee, MA 02184",30308,33.770571,-84.381182
Nicole Thomas,Immunology,3689279032,"5333 S 500 E Ste C Ogden, UT 84405",30308,33.770571,-84.381182
Vincent Bonagura,Immunology,8907562834,"865 Northern Blvd Ste Great Neck, NY 11021",30308,33.770571,-84.381182
Rebecca Abraham,Family Medicine,8002539729,"4121 E Valley Auto Dr Ste 110 Mesa, AZ 85206",30308,33.770571,-84.381182
Kenneth Adler,Family Medicine,7829289709,"5300 E Erickson Dr Ste 108 Tucson, AZ 85712",30308,33.770571,-84.381182
Tyler Alicks,Family Medicine,9028028803,"1633 Fillmore St Ste GL1 Denver, CO 80206",30308,33.770571,-84.381182
Eric Adrid,Family Medicine,2379970200,"10901 W Toller Dr Ste 100 Littleton, CO 80127",30308,33.770571,-84.381182
Bruce Akuna,Family Medicine,8729409238,"1020 McIntosh Cir Ste 202 Joplin, MO 64804",30308,33.770571,-84.381182
Elizabeth Babin,Urologist,8275208275,"350 S 40th St Muskogee, OK 74401",30308,33.770571,-84.381182
Justin Ballard,Urologist,7245245647,"3347 State Road 7 Ste 101 Wellington, FL 33449",30308,33.770571,-84.381182
James Frogge,Urologist,3373683278,"3302 McIntosh Joplin, MO 64804",30308,33.770571,-84.381182
Arif Agha,Urologist,3734768438,"425 US Route 6 Morris, IL 60450",30308,33.770571,-84.381182
John Robinson,Urologist,8368483343,"505 Plummer Ave Chanute, KS 66720",30308,33.770571,-84.381182
John Abdulian,Gastroenterology,5832185346,"7095 N Chestnut Ave Ste 101 Fresno, CA 93720",30308,33.770571,-84.381182
Laura Dakovich,Gastroenterology,3935634672,"5950 University Ave Ste 221 West Des Moines, IA 50266",30308,33.770571,-84.381182
Lawrence Bailey,Gastroenterology,3964753262,"105 W Stone Dr Ste V Kingsport, TN 37660",30308,33.770571,-84.381182
Steven Abshagen,Gastroenterology,2357285393,"3304 Cooley Ct Portage, MI 49024",30308,33.770571,-84.381182
Khalil Abuamr,Gastroenterology,9824525722,"2301 Holmes St Kansas City, MO 64108",30308,33.770571,-84.381182
Harold Bowker,Traumatic Surgery,9346724772,"350 W Thomas Rd Phoenix, AZ 85013",30308,33.770571,-84.381182
Salvador Sordo,Traumatic Surgery,2721417723,"1631 Hospital Dr Ste 240 Santa Fe, NM 87505",30308,33.770571,-84.381182
Jeffrey Browne,Traumatic Surgery,7248393646,"1701 Senate Blvd Ste Indianapolis, IN 46202",30308,33.770571,-84.381182
David Heffernan,Traumatic Surgery,9934456356,"2 Dudley St Ste 360 Providence, RI 02905",30308,33.770571,-84.381182
Raeanna Adams,Traumatic Surgery,8589217358,"1301 Medical Center Dr Nashville, TN 37232",30308,33.770571,-84.381182
Jose Anzilotti,General Practice,7580374582,"Mile 69.1 Parks Hwy Willow, AK 99688",30308,33.770571,-84.381182
Melissa Abreu,General Practice,7070218578,"435 Fort Washington Ave Apt 1C New York, NY 10033",30308,33.770571,-84.381182
Lorraine Ang,General Practice,8662985625,"315 Norwood Park S Ste 1 Norwood, MA 02062",30308,33.770571,-84.381182
Franklin McDonald,General Practice,6906589725,"624 University Ave Ste 100 Las Vegas, NM 87701",30308,33.770571,-84.381182
Matthew Holmes,General Practice,6198025710,"20 5th St SE Cook, MN 55723",30308,33.770571,-84.381182
Oliver Abela,Internal Medicine,1619857055,"20140 W Charleston Blvd Ste 300 Las Vegas, NV 89102",30308,33.770571,-84.381182
Joseph Albanese,Internal Medicine,7087589237,"523 Cape Coral Pkwy E Cape Coral, FL 33904",30308,33.770571,-84.381182
Mohamed Abdel ,Internal Medicine,1895712095,"6402 Thornberry Ct Mason, OH 45040",30308,33.770571,-84.381182
Crispin Abarientos,Internal Medicine,8175189024,"80 E Main St Middletown, CT 06457",30308,33.770571,-84.381182
